,timestamp,gender,marital_status,region,bachelor_loc,masters_loc,mixed_sex,introversion_personal,introversion_public,household_chores,single_vs_mixed_working_env,comfort_with_other_gender,comfort_with_help_from_other_gender,project_with_other_gender,events_that_influnced_gender_views,with_or_aginst_mixed_sex_universities,opinion_mixed_sex_universites,introversion,introversion_mapped,exposure,household_chores_num,comfort_with_other_gender_num,comfort_with_help_from_other_gender_num,project_with_other_gender_num,level_of_comfort,Conservatism
10,2020-12-02 04:45:01,Female,Married,Center,Abroad,n/a,"Yes, both",Inner reflection and solitude,Outgoing and talkative,3: Agree,Single-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,With mixed-sex universities,Great,introvert/extrovert,2,0.99999996,3,3,3,3,3.0,1.0
11,2020-12-02 04:51:29,Female,Married,Center,Abroad,n/a,"Yes, both",Inner reflection and solitude,Outgoing and talkative,3: Agree,Single-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,With mixed-sex universities,Great,introvert/extrovert,2,0.99999996,3,3,3,3,3.0,1.0
12,2020-12-02 10:17:05,Female,Single,Center,Saudi,Saudi,"No, neither",Inner reflection and solitude,Quiet and reflective,3: Agree,Single-sex work environment,3: Comfortable,4: Highly likely,3: Likely,n/a,Against mixed-sex universities,I am only against It because of one reason. It is hard to stay in hijab all day especially the face cover. ,introvert,0,0.0,3,3,4,3,3.333333333333333,1.0
13,2020-12-03 06:03:10,Female,Single,Eastern,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,1: Very uncomfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Both genders can understand eachother more,introvert,0,0.0,4,1,4,4,3.0,4.0
14,2020-12-03 06:06:39,Male,Single,Eastern,Abroad,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,"Nothing really comes to mind, but females tend to be more organized so working in groups was always good lol",With mixed-sex universities,I think it’ll be good,extrovert,1,0.66666664,3,4,4,4,4.0,3.0
15,2020-12-03 06:07:09,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,It helps break the barrier that many end up facing in the workplace or if they travel. Mixing in a professional and decent manner shouldn’t be an issue.,extrovert,1,0.66666664,3,3,4,4,3.6666666666666665,3.0
16,2020-12-03 06:08:49,Female,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Majors should be for all genders, faculty should be top faculty regardless of gender and it’s a social experience ",introvert/extrovert,2,0.0,4,3,4,4,3.6666666666666665,4.0
17,2020-12-03 06:10:48,Male,Single,Center,Saudi,Abroad,"Yes, grad",Going out with friends,Quiet and reflective,2: Disagree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,The lifestyle there ,With mixed-sex universities,"Better to have diversity, different point of views, and increase competition ",introvert/extrovert,2,0.33333332,2,4,4,4,4.0,2.0
18,2020-12-03 06:15:36,Male,Single,Western,Saudi,n/a,"No, neither",Going out with friends,Outgoing and talkative,2: Disagree,Single-sex work environment,2: Uncomfortable,3: Likely,2: Unlikely,n/a,Against mixed-sex universities,"Religion , hard to compete,  uncomfortable ",extrovert,1,0.0,2,2,3,2,2.333333333333333,0.6666666666666666
19,2020-12-03 06:16:15,Female,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,"I grew up around brothers and cousins who were male, and went to summer camps almost every summer. So gender was never an issue for me. ",With mixed-sex universities,"1. Promotes healthy relationships between males and females - they could be colleagues, friends, etc. 
2. The issue of gender needs to be broken in Saudi, females need to feel comfortable talking to the other gender and vise versa. 
3. Both genders together think differently and are able to create great value working together ",introvert,0,0.66666664,4,4,4,4,4.0,4.0
20,2020-12-03 06:17:02,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,Club members ,With mixed-sex universities,"Strongly agree,
More confidence
More ideas
Better utilization of facilities ",introvert,0,0.66666664,4,4,4,4,4.0,4.0
21,2020-12-03 06:17:44,Male,Single,Center,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,3: Likely,3: Likely,Student unions,Against mixed-sex universities,Still a cultural shock,introvert/extrovert,2,0.66666664,3,3,3,3,3.0,3.0
22,2020-12-03 06:20:42,Female,Married,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Equally assessed 
Better communication
Different views",introvert,0,0.66666664,3,4,4,4,4.0,3.0
23,2020-12-03 06:23:59,Male,Single,Center,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,2: Disagree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,"I grew up in a mixed gender environment, so I was very comfortable viewing other genders",With mixed-sex universities,Very crucial to prepare them for future career ,introvert/extrovert,2,0.66666664,2,4,4,4,4.0,2.0
24,2020-12-03 06:25:15,Male,Single,Center,Abroad,Abroad,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,Women’s day,With mixed-sex universities,"Healthier environment, variety of universities and majors",extrovert,1,0.66666664,3,4,4,4,4.0,3.0
25,2020-12-03 06:30:15,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Why:
- break down unnecessary barriers 
- work force is shifting towards mix, people should be comfortable with that during university before hand
-",introvert,0,0.66666664,4,3,4,4,3.6666666666666665,4.0
26,2020-12-03 06:30:30,Female,Single,Center,Saudi,n/a,"Yes, both",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,n/a,extrovert,1,0.99999996,3,3,4,4,3.6666666666666665,3.0
27,2020-12-03 06:35:18,Male,Single,Center,Abroad,Abroad,"Yes, both",Inner reflection and solitude,Quiet and reflective,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,"The influence i had was mainly due to a female dominated family, interacting with the opposite gender was not stigmatised",With mixed-sex universities,"I think it will have a great impact on the culture and the “sexual” view that dominated the Saudi culture will slowly diminish
2- sharing experiences and integrating females has led to a more productive workforce due to different thinking 
3- a word of caution is to slowly introduce this culture, a swift response is sure to be met with backlash and withdrawal ",introvert,0,0.99999996,3,4,4,4,4.0,3.0
28,2020-12-03 06:36:35,Male,Single,Eastern,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"I am with mixed-sex universities for the following:
It helps you prepare for the work environment as it is most likely mixed-sex.
You get to meet a more diverse set of people.
Real life is not segregated so it's inevitable that you will meet or work with a person from the opposite sex.",introvert,0,0.66666664,3,4,4,4,4.0,3.0
29,2020-12-03 06:40:48,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Single-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,Unnecessary problems will rise,introvert/extrovert,2,0.66666664,3,3,4,4,3.6666666666666665,1.0
30,2020-12-03 06:42:24,Female,Single,Center,Saudi,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"I’ve studies in alfaisal university and it was mix .
I’n a mix environment you get to know other gender opinions and so on",extrovert,1,0.66666664,4,4,4,4,4.0,4.0
31,2020-12-03 06:43:32,Female,Single,Western,Abroad,Abroad,"Yes, both",Inner reflection and solitude,Quiet and reflective,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,There isn’t a specific event just normal day to day life,With mixed-sex universities,"With. preparing for real life, Learn how to socialise professionally with other sex. ",introvert,0,0.99999996,3,4,4,4,4.0,3.0
32,2020-12-03 06:44:04,Male,Single,Center,Saudi,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Single-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"From my experience being in a mixed- sex university, I believe the disadvantages outweigh the advantages in many aspects of the learning process and environment.",extrovert,1,0.66666664,3,4,4,4,4.0,1.0
33,2020-12-03 06:46:01,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,(Yes) I believe that it will help familiarizing opposite-genders to work together. (Yes) more intelligence may result of this as cross learning across different genders may occur. (Minor No) The existing system would need a drastic rehabilitation to accommodate such a change.,introvert/extrovert,2,0.66666664,3,4,4,4,4.0,3.0
34,2020-12-03 06:49:37,Male,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Outgoing and talkative,2: Disagree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"To be more comfortable dealing with the opposite sex at the workplace
To know how to communicate better with the opposite sex
To better understand how the opposite sex thinks",introvert/extrovert,2,0.0,2,4,4,4,4.0,2.0
35,2020-12-03 07:04:05,Male,Single,Eastern,Abroad,Abroad,"Yes, undergrad",Going out with friends,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,Females tend to get the job done more serious,With mixed-sex universities,Competition creates creativity,introvert/extrovert,2,0.66666664,4,4,4,4,4.0,4.0
36,2020-12-03 07:06:12,Female,Single,Center,Saudi,Saudi,"No, neither",Inner reflection and solitude,Outgoing and talkative,3: Agree,Single-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,With mixed-sex universities,Equality of receiving knowledge and skills - getting used for the work environment. ,introvert/extrovert,2,0.0,3,3,3,3,3.0,1.0
37,2020-12-03 07:17:28,Female,Single,Western,Saudi,n/a,"Yes, undergrad",Going out with friends,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,The normal,introvert/extrovert,2,0.66666664,4,3,4,4,3.6666666666666665,4.0
38,2020-12-03 07:34:24,Female,Single,Eastern,Saudi,Abroad,"Yes, grad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,2: Uncomfortable,3: Likely,3: Likely,Meeting someone from the opposite gender who I really liked. I thought I had feelings for him but then realized I liked him as a human. For who he was. I didn’t know that one could like someone without it being romantic. Turns out there’s different levels of liking and there is a way to have relationships with the opposite sex with boundaries you set for yourself. ,Against mixed-sex universities,"Learning to work and coexist with each other in our society is vital. It’s not about supporting or apposition mixed work or university. It’s about educating each age group about each gender and how to understand, communicate, and interact with each other. 
We can have same sex universities and mixed work environments no doubt but it’s VERY important that people learn how to coexist before we begin such a big step. ",introvert/extrovert,2,0.33333332,3,2,3,3,2.6666666666666665,3.0
39,2020-12-03 07:39:31,Female,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Outgoing and talkative,3: Agree,Single-sex work environment,2: Uncomfortable,2: Unlikely,3: Likely,n/a,Against mixed-sex universities,I don’t think it adds anything nor is it something we consider ourselves lacking. Many studies actually show that segregation has a positive affect on learning for both genders.,introvert/extrovert,2,0.0,3,2,2,3,2.333333333333333,1.0
40,2020-12-03 08:11:48,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,(Yes) I believe that it will help familiarizing opposite-genders to work together. (Yes) more intelligence may result of this as cross learning across different genders may occur. (Minor No) The existing system would need a drastic rehabilitation to accommodate such a change.,introvert/extrovert,2,0.66666664,3,4,4,4,4.0,3.0
41,2020-12-03 08:35:49,Female,Single,Center,Saudi,Abroad,"Yes, grad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,3: Likely,Group projects,With mixed-sex universities,"Brings diversity, prepares for real world experience, different perspectives ",introvert/extrovert,2,0.33333332,3,3,4,3,3.333333333333333,3.0
42,2020-12-03 08:39:13,Male,Single,Western,Saudi,n/a,"No, neither",Going out with friends,Outgoing and talkative,2: Disagree,Single-sex work environment,2: Uncomfortable,3: Likely,2: Unlikely,n/a,Against mixed-sex universities,"Religion , hard to compete,  uncomfortable ",extrovert,1,0.0,2,2,3,2,2.333333333333333,0.6666666666666666
43,2020-12-03 09:08:23,Male,Single,Eastern,Saudi,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,1: Strongly disagree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,My view on working different gender hasn’t changes when I took my time xchange prgram at Georgia Tech.,With mixed-sex universities,- ,extrovert,1,0.66666664,1,4,4,4,4.0,1.0
44,2020-12-03 09:54:33,Female,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,"Majors should be for all genders, faculty should be top faculty regardless of gender and it’s a social experience ",introvert/extrovert,2,0.0,4,3,4,4,3.6666666666666665,4.0
45,2020-12-03 10:16:36,Male,Married,Center,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,Just got used to it with time,Against mixed-sex universities,"University students are between 18-22 which is the prime age for the need of attention, sexual desire, and adolescences. I’m afraid that students will be distracted from focusing on their studies. Plus our culture still has a long way to go. There could be many benefits to it but I feel it is too early for that. ",introvert/extrovert,2,0.66666664,3,4,4,4,4.0,3.0
46,2020-12-03 10:24:05,Female,Single,Center,Saudi,n/a,"Yes, grad",Inner reflection and solitude,Quiet and reflective,3: Agree,Single-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,Against mixed-sex universities,- University is a comfortable place to most girls and the mixed-sex can be a uncomfortable. - It’s hard to understand each other from opposite genders sometimes that can effect the learning process ,introvert,0,0.33333332,3,3,3,3,3.0,1.0
47,2020-12-03 10:41:09,Male,Single,Center,Saudi,n/a,"No, neither",Going out with friends,Quiet and reflective,3: Agree,Single-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"create distractions, Not in line with the islamic rules",introvert/extrovert,2,0.0,3,3,4,4,3.6666666666666665,1.0
48,2020-12-03 10:44:03,Female,Single,Center,Saudi,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Very important to normalize the idea and leverage strengths of both ,extrovert,1,0.66666664,3,3,4,4,3.6666666666666665,3.0
49,2020-12-03 11:52:14,Male,Single,Western,Saudi,n/a,"Yes, grad",Going out with friends,Quiet and reflective,3: Agree,Single-sex work environment,3: Comfortable,3: Likely,2: Unlikely,n/a,With mixed-sex universities,It’s a must but hard to implement currently,introvert/extrovert,2,0.33333332,3,3,3,2,2.6666666666666665,1.0
50,2020-12-03 11:57:47,Male,Single,Center,Saudi,n/a,"No, neither",Going out with friends,Quiet and reflective,3: Agree,Single-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"create distractions, Not in line with the islamic rules",introvert/extrovert,2,0.0,3,3,4,4,3.6666666666666665,1.0
51,2020-12-04 12:33:54,Male,Single,Western,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"1- university student tend to be immature 
2- I’m with partially mix
3- not applicable in very city yet ",introvert/extrovert,2,0.66666664,4,4,4,4,4.0,4.0
52,2020-12-04 01:16:01,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Single-sex work environment,4: Very comfortable,4: Highly likely,2: Unlikely,n/a,Against mixed-sex universities,N\A,introvert/extrovert,2,0.66666664,4,4,4,2,3.333333333333333,1.3333333333333333
53,2020-12-04 02:13:59,Male,Single,Eastern,Abroad,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,2: Disagree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,I think we have to interact with the opposite gender in or outside universities ,extrovert,1,0.66666664,2,3,4,4,3.6666666666666665,2.0
54,2020-12-04 02:34:58,Female,Single,Center,Saudi,n/a,"Yes, grad",Inner reflection and solitude,Quiet and reflective,3: Agree,Single-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,Against mixed-sex universities,- University is a comfortable place to most girls and the mixed-sex can be a uncomfortable. - It’s hard to understand each other from opposite genders sometimes that can effect the learning process ,introvert,0,0.33333332,3,3,3,3,3.0,1.0
55,2020-12-04 09:59:17,Female,Single,Center,Saudi,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,2: Uncomfortable,3: Likely,3: Likely,n/a,With mixed-sex universities,Having mixed universities offers a fair experience for men and women and access to all faculty members and the same quality of education ,extrovert,1,0.66666664,4,2,3,3,2.6666666666666665,4.0
56,2020-12-04 12:05:43,Male,Single,Western,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,"1- university student tend to be immature 
2- I’m with partially mix
3- not applicable in very city yet ",introvert/extrovert,2,0.66666664,4,4,4,4,4.0,4.0
57,2020-12-04 07:13:38,Male,Single,Western,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,Projects,Against mixed-sex universities,"1- would greatly enhance opposite gender perception
2- raise awareness and respect for the female gender in saudi
3- saudi people are not read",introvert/extrovert,2,0.66666664,3,4,4,4,4.0,3.0
58,2020-12-05 02:28:33,Female,Single,Eastern,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,1: Very uncomfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,Both genders can understand eachother more,introvert,0,0.0,4,1,4,4,3.0,4.0
59,2020-12-06 03:42:24,Male,Single,Western,Saudi,Abroad,"No, neither",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,3: Likely,n/a,With mixed-sex universities,"That would remove the nuances resulted from the difference in gender
Unify and easier to standardize the knowledge provided for both genders
Job occupation would increase due to the eliminated restriction of gender.",introvert/extrovert,2,0.0,3,3,4,3,3.333333333333333,3.0
60,2020-12-06 03:48:40,Male,Single,Center,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,3: Agree,Mixed-sex work environment,3: Comfortable,3: Likely,3: Likely,Working with mixed gender groups for projects,With mixed-sex universities,"Support it

More efficient
More reflective for workplace environment
Enhances communications skills ",introvert,0,0.66666664,3,3,3,3,3.0,3.0
61,2020-12-06 03:49:08,Male,Single,Center,Saudi,n/a,"No, neither",Going out with friends,Outgoing and talkative,2: Disagree,Single-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,1- unfocus in the main important thing which is the knowledge. Be cautious more of what to say and what to do.,extrovert,1,0.0,2,4,4,4,4.0,0.6666666666666666
62,2020-12-06 03:54:18,Male,Single,Center,Saudi,Abroad,"Yes, grad",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,The social norms,With mixed-sex universities,"1) Utilize resources - 2) Get comfortable working with the opposite sex 3) Gain different perspectives.. However, I think it should be done with baby steps with a few universities at first   ",introvert,0,0.33333332,4,4,4,4,4.0,4.0
63,2020-12-06 04:05:34,Male,Single,Eastern,Abroad,n/a,"Yes, undergrad",Going out with friends,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,There’s no reason it shouldn’t be. ,extrovert,1,0.66666664,3,4,4,4,4.0,3.0
64,2020-12-06 04:14:54,Female,Single,Western,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,With mixed-sex universities,"I’m with it because: 
- It will establish proper work/communication behaviors  between genders, which will serve the work environment in the future",introvert,0,0.0,4,3,3,3,3.0,4.0
65,2020-12-06 04:15:02,Female,Single,Center,Saudi,n/a,"Yes, undergrad",Inner reflection and solitude,Quiet and reflective,4: Strongly agree,Mixed-sex work environment,3: Comfortable,4: Highly likely,4: Highly likely,n/a,With mixed-sex universities,1) helps both genders learn how to communicate with eachother respectively 2) enhances networking 3) both genders can learn from eachother,introvert,0,0.66666664,4,3,4,4,3.6666666666666665,4.0
66,2020-12-06 04:25:07,Male,Single,Center,Abroad,n/a,"Yes, undergrad",Inner reflection and solitude,Outgoing and talkative,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,Gender separation creates many challenges that henders the development of the society! ,With mixed-sex universities,"1- Implement appropriate laws and regulations to accommodate for the changes. In addition to online behavioral courses. ( even in the at my U.S University we had to take a mandatory course on a yearly basis). 
2- We are one of the very few countries that still separate genders
3- Not only universities, but most importantly at schools from kindergarten to 12th grade, but could probably be gradual development. ( Don't separate them from kindergarten, till they grow up).",introvert/extrovert,2,0.66666664,3,4,4,4,4.0,3.0
67,2020-12-06 04:31:47,Female,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,3: Agree,Single-sex work environment,2: Uncomfortable,3: Likely,2: Unlikely,n/a,Against mixed-sex universities,Maybe yes if schools were also mixed ,introvert,0,0.0,3,2,3,2,2.333333333333333,1.0
68,2020-12-06 04:35:40,Female,Single,Center,Saudi,n/a,"No, neither",Inner reflection and solitude,Quiet and reflective,3: Agree,Single-sex work environment,2: Uncomfortable,3: Likely,2: Unlikely,n/a,Against mixed-sex universities,Maybe yes if schools were also mixed ,introvert,0,0.0,3,2,3,2,2.333333333333333,1.0
69,2020-12-06 04:56:46,Male,Single,Western,Abroad,Abroad,"Yes, both",Going out with friends,Quiet and reflective,3: Agree,Mixed-sex work environment,4: Very comfortable,4: Highly likely,4: Highly likely,n/a,Against mixed-sex universities,Young and not mature ,introvert/extrovert,2,0.99999996,3,4,4,4,4.0,3.0
70,2020-12-06 05:02:25,Male,Single,Center,n/a,n/a,n/a,Inner reflection and solitude,Outgoing and talkative,2: Disagree,Single-sex work environment,3: Comfortable,3: Likely,3: Likely,n/a,Against mixed-sex universities,"Privacy, Competitiveness, Security",introvert/extrovert,2,0.0,2,3,3,3,3.0,0.6666666666666666
